Rockstar Supernova Finale,Rockstar-Supernova-Finale,"Lucas? I mean really? That little whiney guy, Supernova, you shoulda picked Toby.",2006-09-14,html
Why buy an SUV now?,Why-buy-an-SUV-now,"The Mad Blogger just recently did, you should too. <a href=""http://articles.moneycentral.msn.com/SavingandDebt/SaveonaCar/WhyNowsTheTimeToBuyAnSUV.aspx?GT1=8579"" target=""_blank"">Here&#39;s why</a>.",2006-09-14,html
Is Viewpoint Spyware? Viewpoint Sucks!,Is-Viewpoint-Spyware-Viewpoint-Sucks,"<p>Damn skippy Viewpoint is Spyware.&nbsp;TMB doesn&#39;t care if <a href=""http://ask-leo.com/is_viewpoint_spyware.html"" target=""_blank"">they don&#39;t think it is</a>. It gets installed, without your knowing, then tries to update itself via the internet.</p>

<p>In the eyes of The Mad Blogger, VIEWPOINT IS SPYWARE.</p>

<p>Anyone who downloads and installs AOL Instant Messenger, AIM, will get Viewpoint. You don&#39;t have the option of not installing it. So, if you install AIM, be sure to go to control panel/add remove programs, and remove all instances of Viewpoint from your computer.</p>

<p>Plain and simple, Viewpoint is spyware. </p>

<p>TMB recommends using <a href=""http://get.live.com/onecare/features"" target=""_blank"">Windows Live Onecare</a> for all yoru Virus,spyware &nbsp;and firewall needs. It&#39;s only $50 to cover 3 computers with the software, TMB uses it and it works great!</p>

<p>The Mad Blogger ALSO suggests using <a href=""http://get.live.com/messenger/features"" target=""_blank"">Windows Live Messenger</a> for all your Instant Messaging needs.</p>",2006-09-14,html
Don't buy a Shadow Trailer in Ocala Florida,Dont-buy-a-Shadow-Trailer-in-Ocala-Florida,"<p>The Mad Blogger&nbsp;wouldn't recommend buying a Shadow Trailer for Shadow Trailers in Ocala Florida or from the Ocala Trailer Company.</p>

<p>If you've had a bad experience with Shadow Trailers, this is your post, give TMB some love.</p>

<p><a target=""_blank"" href=""http://chrishammond.com/blogs/archive/2005/08/14/1467.aspx"">Here's the original post as to why not to buy&nbsp;a Shadow Trailer!</a></p>",2006-09-18,html
Studio 60: On the Sunset Strip?,Studio-60:-On-the-Sunset-Strip,"<p>So, I had my trusty (no, it&#39;s not really trusty) Moxi record Studio 60 tonight on NBC. I must admit, after the first 5 minutes I was ready to delete the show and clean it off my series list. </p>

<p>Though, after making it through the first 5 minutes it started to pick up. It&#39;ll stay on my series list at least one more week, and I predict probably even longer than that.</p>",2006-09-19,html
Another Reason why UPS Sucks!,Another-Reason-why-UPS-Sucks,"<p><span style=""font-size:10pt;font-family:Arial;"">Door to door sales now? Really? Come on UPS, are you that desperate that you have to start going door to door to businesses to sell your product? TMB works in a small software office, and guess who just came in. Two sales people from UPS trying to talk us into using the drop box located outside our building. They didn&#39;t seem to understand when a TMB acquaintance told them we don&#39;t ship anything, we deliver everything electronically. </span></p>

<p><span style=""font-size:10pt;font-family:Arial;"">The Mad Blogger has a question for UPS. &quot;What&#39;s in the box?&quot;</span></p>",2006-09-19,html
"Sarah Silverman, what's the deal?",Sarah-Silverman-whats-the-deal,"<p>The Mad Blogger wants to know, what&#39;s the deal with Sarah Silverman?</p>

<p>She is NOT funny? She&#39;s annoying as hell, and definitely not funny for a comedian. She&#39;s on Leno tonight, and making&nbsp;TMB want to change it to Letterman! </p>",2006-09-20,html
Magnets and Trains just don't fly?,Magnets-and-Trains-just-dont-fly,"<p><a href=""http://www.cnn.com/2006/WORLD/europe/09/22/germany.crash.reut/index.html"">http://www.cnn.com/2006/WORLD/europe/09/22/germany.crash.reut/index.html</a></p>

<p>The Mad Blogger sure is glad he isn&#39;t a beta tester for Magnetic Trains in Germany! </p>

<p>&quot;He said the train had collided with an object on the track while travelling at a speed of at least 200 km/h (120 mph) and that several passengers had been seriously injured.&quot;</p>

<p>Sounds like a big old deer stepped out in front of the wrong train!</p>",2006-09-22,html
Playskool Team Talkin Tool Bench,Playskool-Team-Talkin-Tool-Bench,"<p>The Mad Blogger wonders what this world is really coming too. <a href=""http://money.cnn.com/2006/09/22/news/companies/toy_recall/index.htm?cnn=yes"" target=""_blank"">A company recalls all of a product line</a> because two families were dumb enough to let their kids play with toys they weren&#39;t old enough for? </p>

<p>&quot;The two 3-inch plastic nails in Playskool&#39;s &quot;Team Talkin&#39; Tool Bench&quot; led to the death of two young children, according to the Consumer Product Safety Commission.&quot; <br />&quot;Playskool, a unit of Hasbro Inc., said it received reports that a 19-month-old boy from Martinsburg, W.Va., and a 2-year-old boy from League City, Texas, suffocated when oversized, plastic toy nails sold with the tool bench toys became lodged in their throats. &quot;</p>

<p>TMB thinks it&#39;s a parent&#39;s responsibility to protect their kids. Companies shouldn&#39;t held liable for stupid people&#39;s mistakes.</p>",2006-09-22,html
Sony Mylo - TMB wants one of these,Sony-Mylo---TMB-wants-one-of-these,"<p>The Mad Blogger stumbled across something interesting today. <a href=""http://www.learningcenter.sony.us/assets/itpd/mylo/prod/index.html"" target=""_blank"">The Sony Mylo</a>. Perhaps TMB needs to go pick one of these up and give it a shot. That is, unless there&#39;s someone out there who wants to provide TMB with a free one! TMB will do a review for ya!</p>",2006-09-22,html
"Don't hire Hsing-Yao Fang, Hsing-Yao Fang (nemofang, valorxnemo) sucks",Dont-hire-Hsing-Yao-Fang-Hsing-Yao-Fang-(nemofang-valorxnemo)-sucks,"<P>This is a warning to any companies out there, or Ebay listers out there. Don't do business with the ebay user ID NEMOFANG. </P>

<P>This NEMOFANG (recently changed his ID to (<STRONG>valorxnemo)</STRONG>, also known as Hsing-Yao Fang is an engineering student at Ohio State University and he uses fraudulant methods when shopping on Ebay.</P>

<P>Here's TMB's story. TMB was selling a 2003 Nissan 350Z on Ebay and Nemofang bid the starting bid price of $14500. Nemofang contacted TMB about the purchase, and even said he'd fly out to pick the car up, bringing CASH for the auction or a bank check.</P>

<P>Less than 24 hours before auction was to end another bidder stepped up to the plate and bid $14,600, $100 more than Nemofang's bid. This bidder was <A href=""http://myworld.ebay.com/ebaymotors/a729241025"">a729241025</A> who happened to have -1 for feedback on EBay's feedback system. TMB doesn't let anyone with negative feedback bid on his auctions so the bid was cancelled.</P>

<P>Fast forward to the end of the auction, Nemofang is the only bidder so he wins the auction at $14,500. TMB emails Nemofang (Hsing-Yao Fang) reminding him that a $500 deposit is due via Paypal within 24 hours of the auction's close. Hsing-Yao Fang emails TMB back and says that he only has $11k cash and can't afford the auction, and he's sorry for letting TMB know so late.</P>

<P>This starts to infuriate TMB, but what infuriates The Mad Blogger even more is that when he starts to reply to Nemofang's email he notices the email address is <A href=""mailto:a729241025@hotmail.com)"">mailto:a729241025@hotmail.com)</A> If that looks familiar to you that's because it is the exact same userId as the second bidder who had negative feedback.</P>

<P>So, being a semi bright guy The Mad Blogger has now put ttwo and two together. For those of you who may not see what TMB means, let TMB break is down for you. Nemofang bid on a car, TMB's Nissan 350z, and then decided he either didn't want to buy it, or couldn't afford it, so he used another account that he has setup with Ebay to outbid his initial bid. This other account is setup with purpose of winning auctions but never paying for the items, you can check out the history of the account to see exactly that, he's used it twice in the past to win an auction but never paid for either item.</P>

<P>So now here is The Mad Blogger's mission. TMB will most likely be taking Nemofang, also known by his real name of Hsing-Yao Fang, to small claims court to retrieve financial damages caused by Hsing-Yao Fang's fraudulant practices. TMB will also be reporting Hsing-Yao Fang to Ohio State for using their computers for fraudulant interstate commerce activities.</P>

<P>The Mad Blogger will also be making sure that if anyone ever searches for Nemofang or Hsing-Yao Fang, they will know not to trust this user, and hopefully not to ever employee this person. Here's a little information TMB was able to locate on the web about Nemofang aka Hsing-Yao Fang</P>

<P>His address is </P>

<P>364 West Lane Ave<BR>Columbus,&nbsp;OH&nbsp;43201<BR>United States</P>

<P>Here's his Ohio State Information</P>

<P>FANG, HSING-YAO<BR>&nbsp;&nbsp;Unique name at OSU = fang.67<BR>Email addresses:<BR>&nbsp;&nbsp;&nbsp; Published address&nbsp; = <A href=""mailto:fang.67@osu.edu"" target=_blank>fang.67@osu.edu</A><BR>&nbsp; Major:<BR>&nbsp;&nbsp;&nbsp; ENGINEERING-UNDECLARED<BR>&nbsp; College:<BR>&nbsp;&nbsp;&nbsp; ENGINEERING</P>

<P>If anyone else has any information on <STRONG>valorxnemo/</STRONG>Nemofang/Hsing-Yao Fang please let TMB know.</P>

<P>&nbsp;</P>",2006-09-23,html
"Paddington Bear, a Killer Fisherman",Paddington-Bear-a-Killer-Fisherman,"<p><a href=""http://msnbc.msn.com/id/15004927/?GT1=8506"">http://msnbc.msn.com/id/15004927/?GT1=8506</a></p>

<p>&quot;MILFORD, N.H. - A teddy bear has been implicated in 2,500 deaths. Of trout, that is. State officials say a teddy bear dropped into a pool at a Fish and Game Department hatchery earlier this month clogged a drain. The clog blocked the flow of oxygen to the pool and suffocated the fish.</p>

<p>Hatcheries supervisor Robert Fawcett said the bear &mdash; a Paddington Bear dressed in yellow raincoat and hat &mdash; is believed to be the first stuffed bear to cause fatalities at the facility.&quot;</p>

<p>Look out fishies, Paddington Bear is out to get you!</p>

<p>&nbsp;</p>",2006-09-26,html
Yankees Suck!,Yankees-Suck,"<p>Coming from a Red Sox fan,&nbsp;TMB thinks the Yankess Suck! Go Detroit! </p>

<p>No one in America, outside the city of New York, wants to see a Subway Series. </p>",2006-10-06,html
"Nemofang, we found you fhy729241025 ",Nemofang-we-found-you-fhy729241025-,"<p>It&#39;s amazing what the internet will get you.</p>

<p>&nbsp;Here&#39;s a collection of items we&#39;ve been able to dig up</p>

<p>&nbsp;<a href=""http://www.photolink.com.tw/cgi-bin/ShowPhoto?photo_id=fhy729241025&amp;albumIDs=411b4e41&amp;photoID=41b7873d"">http://www.photolink.com.tw/cgi-bin/ShowPhoto?photo_id=fhy729241025&amp;albumIDs=411b4e41&amp;photoID=41b7873d</a></p>

<p>Here&#39;s his landlord information</p>

<p><a href=""http://offcampus.osu.edu/property_details.asp?PropertyID=10800&amp;type=lease"">http://offcampus.osu.edu/property_details.asp?PropertyID=10800&amp;type=lease</a></p>

<p>More photos</p>

<p><a href=""http://www.photolink.com.tw/cgi-bin/ShowAlbum?albumIDs=411b4e41&amp;photo_id=fhy729241025"">http://www.photolink.com.tw/cgi-bin/ShowAlbum?albumIDs=411b4e41&amp;photo_id=fhy729241025</a></p>

<p>&nbsp;</p>

<p><a href=""http://www.wretch.cc/mypage/valorxnemo"">http://www.wretch.cc/mypage/valorxnemo</a></p>",2006-10-06,html
Are you a Lonelygirl? Follow the Order of the Denderah?,Are-you-a-Lonelygirl-Follow-the-Order-of-the-Denderah,"<p>Back when The Mad Blogger started using YouTube he came across some videos from someone named Lonelygirl15. For some reason TMB had to start watching them, sort of like getting stuck watching Laguna Beach on MTV. They are trainwrecks, teenage lives you just can help but watch and laugh at.</p>

<p>Well, fast forward a few months and you may have now heard of Longelygirl15, she&#39;s been on Leno, and all over the news. It ends up Lonelygirl15 is an actress, I won&#39;t go into the details, if you want to know them google her. Anyways, TMB still watches the Lonelygirl15 videos on Youtube, though they don&#39;t have the same intrigue now that the truth is out and they are all &quot;fake&quot; </p>

<p><a href=""http://www.lonelygirl15.com/"" target=""_blank"">You can also check them out here.</a></p>",2006-10-11,html
Yankees Suck and the players know it? Suicide attempt for Cory Lidle?,Yankees-Suck-and-the-players-know-it-Suicide-attempt-for-Cory-Lidle,<p>Did someone from the Yankees kill themselves over their recent loss to the Detroit Tigers in the playoffs?</p>

<p>According to the AP the plane that crashed into a building in NY today was owned by a Yankees pitcher. More info from TMB as it becomes available.</p>

<p>UPDATE: &quot;New York Yankees manager Joe Torre says the plane that crashed into a building in Manhattan is registered to team pitcher Cory Lidle.&quot;</p>,2006-10-11,html
&quot;blogs empower character assassins and mischief makers.&quot;,blogs-empower-character-assassins-and-mischief-makers,"<p>Who&#39;s that sound like? The Mad Blogger? noooo! TMB isn&#39;t a character assassin, The Mad Blogger is a truth spreader.</p>

<p>Everything that TMB has posted has been the truth, which is not to be mistaken for libel. Libel is when you spread misinformation, TMB prides himself in spreading only the truth. IT may not be the truth people want to hear, but it is the truth.</p>

<p>Interested in learning more about lawsuits and bloggers? <a href=""http://www.usatoday.com/tech/news/2006-10-02-bloggers-courts_x.htm"" target=""_blank"">Check out this article from the USA Today.</a></p>",2006-10-12,html
Windows Vista blog and coming soon!,Windows-Vista-blog-and-coming-soon,"<p>The Mad Blogger is excited about Windows Vista! TMB has been running Vista on a machine for a few weeks now and is loving it! TMB Can&#39;t wait for the final release!</p>

<p><a href=""http://windowsvistablog.com/blogs/windowsvista/archive/2006/10/25/welcome-to-our-new-blog.aspx"" title=""Windows Vista Blog"" target=""_blank"">Here&#39;s the new and improved Windows Vista Blog!</a>&nbsp;Look at that, it&#39;s running on the same software as TheMadBlogger.org, though, with a much prettier look!</p>",2006-10-26,html
What The Mad Blogger hates about Winter,What-The-Mad-Blogger-hates-about-Winter,"<p>The Mad Blogger is actually a Winter fan, so why would TMB write an article about what he hates about winter? Well there&#39;s one thing TMB can&#39;t stand about winter.</p>

<p>All that damn static! The Mad Blogger loves the cold, loves any snow/ice that comes his way, but can&#39;t stand getting shocked, or having shirts cling to him whenever he taked off his jacket!</p>

<p>Go away static, leave TMB with lots of Snow though this winter, TMB wants to test out his four-wheel-drive Tahoe!</p>",2006-11-01,html
Microsoft Zune doesn't work with Windows Vista!,Microsoft-Zune-doesnt-work-with-Windows-Vista,"<p>Hello, Microsoft? What were you thinking? You have a brand new Operating System, Windows Vista, which TMB loves btw, and a brand new Music Player, Zune, which TMB also loves, and the two don&#39;t work together!</p>

<p>Hello??? Is there anyone out there? Left hand, meet the right hand. Vista and the Zune don&#39;t work together. WTFO?</p>",2006-11-16,html
Southtown Dodge,Southtown-Dodge,"The Mad Blogger hopes you aren&#39;t buying anything from <a href=""http://themadblogger.org/blogs/themadblogger/archive/2006/08/25/Why-not-to-buy-from-Southtown-Dodge_2C00_-AKA-Southtown-Dodge-Sucks.aspx"" title=""Southtown Dodge"">Southtown Dodge</a>! Why would TMB suggest not buying from Southtown Dodge? <a href=""http://themadblogger.org/blogs/themadblogger/archive/2006/08/25/Why-not-to-buy-from-Southtown-Dodge_2C00_-AKA-Southtown-Dodge-Sucks.aspx"" title=""Southtown Dodge"">Read here to see for yourself</a>!",2006-11-16,html
